State,Real,Imag
0,0.707107,0.000000
1,0.000086,0.450158
2,0.000000,0.000000
3,0.000086,0.150053
4,0.000000,0.000000
5,0.000086,0.090032
6,0.000000,0.000000
7,0.000086,0.064308
8,0.000000,0.000000
9,0.000086,0.050018
10,0.000000,0.000000
11,0.000086,0.040923
12,0.000000,0.000000
13,0.000086,0.034627
14,0.000000,0.000000
15,0.000086,0.030010
16,0.000000,0.000000
17,0.000086,0.026480
18,0.000000,0.000000
19,0.000086,0.023692
20,0.000000,0.000000
21,0.000086,0.021436
22,0.000000,0.000000
23,0.000086,0.019572
24,0.000000,0.000000
25,0.000086,0.018006
26,0.000000,0.000000
27,0.000086,0.016672
28,0.000000,0.000000
29,0.000086,0.015523
30,0.000000,0.000000
31,0.000086,0.014521
32,0.000000,0.000000
33,0.000086,0.013641
34,0.000000,0.000000
35,0.000086,0.012861
36,0.000000,0.000000
37,0.000086,0.012166
38,0.000000,0.000000
39,0.000086,0.011542
40,0.000000,0.000000
41,0.000086,0.010979
42,0.000000,0.000000
43,0.000086,0.010469
44,0.000000,0.000000
45,0.000086,0.010003
46,0.000000,0.000000
47,0.000086,0.009578
48,0.000000,0.000000
49,0.000086,0.009187
50,0.000000,0.000000
51,0.000086,0.008826
52,0.000000,0.000000
53,0.000086,0.008493
54,0.000000,0.000000
55,0.000086,0.008184
56,0.000000,0.000000
57,0.000086,0.007897
58,0.000000,0.000000
59,0.000086,0.007629
60,0.000000,0.000000
61,0.000086,0.007379
62,0.000000,0.000000
63,0.000086,0.007145
64,0.000000,0.000000
65,0.000086,0.006925
66,0.000000,0.000000
67,0.000086,0.006718
68,0.000000,0.000000
69,0.000086,0.006524
70,0.000000,0.000000
71,0.000086,0.006340
72,0.000000,0.000000
73,0.000086,0.006166
74,0.000000,0.000000
75,0.000086,0.006002
76,0.000000,0.000000
77,0.000086,0.005846
78,0.000000,0.000000
79,0.000086,0.005698
80,0.000000,0.000000
81,0.000086,0.005557
82,0.000000,0.000000
83,0.000086,0.005423
84,0.000000,0.000000
85,0.000086,0.005296
86,0.000000,0.000000
87,0.000086,0.005174
88,0.000000,0.000000
89,0.000086,0.005057
90,0.000000,0.000000
91,0.000086,0.004946
92,0.000000,0.000000
93,0.000086,0.004840
94,0.000000,0.000000
95,0.000086,0.004738
96,0.000000,0.000000
97,0.000086,0.004640
98,0.000000,0.000000
99,0.000086,0.004547
100,0.000000,0.000000
101,0.000086,0.004456
102,0.000000,0.000000
103,0.000086,0.004370
104,0.000000,0.000000
105,0.000086,0.004287
106,0.000000,0.000000
107,0.000086,0.004206
108,0.000000,0.000000
109,0.000086,0.004129
110,0.000000,0.000000
111,0.000086,0.004055
112,0.000000,0.000000
113,0.000086,0.003983
114,0.000000,0.000000
115,0.000086,0.003914
116,0.000000,0.000000
117,0.000086,0.003847
118,0.000000,0.000000
119,0.000086,0.003782
120,0.000000,0.000000
121,0.000086,0.003720
122,0.000000,0.000000
123,0.000086,0.003659
124,0.000000,0.000000
125,0.000086,0.003601
126,0.000000,0.000000
127,0.000086,0.003544
128,0.000000,0.000000
129,0.000086,0.003489
130,0.000000,0.000000
131,0.000086,0.003436
132,0.000000,0.000000
133,0.000086,0.003384
134,0.000000,0.000000
135,0.000086,0.003334
136,0.000000,0.000000
137,0.000086,0.003285
138,0.000000,0.000000
139,0.000086,0.003238
140,0.000000,0.000000
141,0.000086,0.003192
142,0.000000,0.000000
143,0.000086,0.003147
144,0.000000,0.000000
145,0.000086,0.003104
146,0.000000,0.000000
147,0.000086,0.003061
148,0.000000,0.000000
149,0.000086,0.003020
150,0.000000,0.000000
151,0.000086,0.002980
152,0.000000,0.000000
153,0.000086,0.002941
154,0.000000,0.000000
155,0.000086,0.002903
156,0.000000,0.000000
157,0.000086,0.002866
158,0.000000,0.000000
159,0.000086,0.002830
160,0.000000,0.000000
161,0.000086,0.002795
162,0.000000,0.000000
163,0.000086,0.002761
164,0.000000,0.000000
165,0.000086,0.002727
166,0.000000,0.000000
167,0.000086,0.002695
168,0.000000,0.000000
169,0.000086,0.002663
