State,Real,Imag
0,0.707107,0.000000
1,0.001381,0.450157
2,0.000000,0.000000
3,0.001381,0.150048
4,0.000000,0.000000
5,0.001381,0.090025
6,0.000000,0.000000
7,0.001381,0.064298
8,0.000000,0.000000
9,0.001381,0.050005
10,0.000000,0.000000
11,0.001381,0.040908
12,0.000000,0.000000
13,0.001381,0.034609
14,0.000000,0.000000
15,0.001381,0.029989
16,0.000000,0.000000
17,0.001381,0.026456
18,0.000000,0.000000
19,0.001381,0.023666
20,0.000000,0.000000
21,0.001381,0.021406
22,0.000000,0.000000
23,0.001381,0.019540
24,0.000000,0.000000
25,0.001381,0.017971
26,0.000000,0.000000
27,0.001381,0.016634
28,0.000000,0.000000
29,0.001381,0.015482
30,0.000000,0.000000
31,0.001381,0.014477
32,0.000000,0.000000
33,0.001381,0.013595
34,0.000000,0.000000
35,0.001381,0.012812
36,0.000000,0.000000
37,0.001381,0.012114
38,0.000000,0.000000
39,0.001381,0.011487
40,0.000000,0.000000
41,0.001381,0.010921
42,0.000000,0.000000
43,0.001381,0.010408
44,0.000000,0.000000
45,0.001381,0.009940
46,0.000000,0.000000
47,0.001381,0.009511
48,0.000000,0.000000
49,0.001381,0.009118
50,0.000000,0.000000
51,0.001381,0.008754
52,0.000000,0.000000
53,0.001381,0.008419
54,0.000000,0.000000
55,0.001381,0.008107
56,0.000000,0.000000
57,0.001381,0.007817
58,0.000000,0.000000
59,0.001381,0.007546
60,0.000000,0.000000
61,0.001381,0.007293
62,0.000000,0.000000
63,0.001381,0.007056
64,0.000000,0.000000
65,0.001381,0.006833
66,0.000000,0.000000
67,0.001381,0.006624
68,0.000000,0.000000
69,0.001381,0.006426
70,0.000000,0.000000
71,0.001381,0.006240
72,0.000000,0.000000
73,0.001381,0.006063
74,0.000000,0.000000
75,0.001381,0.005896
76,0.000000,0.000000
77,0.001381,0.005737
78,0.000000,0.000000
79,0.001381,0.005586
80,0.000000,0.000000
81,0.001381,0.005443
82,0.000000,0.000000
83,0.001381,0.005306
84,0.000000,0.000000
85,0.001381,0.005175
86,0.000000,0.000000
87,0.001381,0.005051
88,0.000000,0.000000
89,0.001381,0.004932
90,0.000000,0.000000
91,0.001381,0.004818
92,0.000000,0.000000
93,0.001381,0.004708
94,0.000000,0.000000
95,0.001381,0.004604
96,0.000000,0.000000
97,0.001381,0.004503
98,0.000000,0.000000
99,0.001381,0.004406
100,0.000000,0.000000
101,0.001381,0.004313
102,0.000000,0.000000
103,0.001381,0.004224
104,0.000000,0.000000
105,0.001381,0.004138
106,0.000000,0.000000
107,0.001381,0.004055
108,0.000000,0.000000
109,0.001381,0.003975
110,0.000000,0.000000
111,0.001381,0.003897
112,0.000000,0.000000
113,0.001381,0.003823
114,0.000000,0.000000
115,0.001381,0.003751
116,0.000000,0.000000
117,0.001381,0.003681
118,0.000000,0.000000
119,0.001381,0.003613
120,0.000000,0.000000
121,0.001381,0.003548
122,0.000000,0.000000
123,0.001381,0.003484
124,0.000000,0.000000
125,0.001381,0.003423
126,0.000000,0.000000
127,0.001381,0.003363
128,0.000000,0.000000
129,0.001381,0.003305
130,0.000000,0.000000
131,0.001381,0.003249
132,0.000000,0.000000
133,0.001381,0.003195
134,0.000000,0.000000
135,0.001381,0.003142
136,0.000000,0.000000
137,0.001381,0.003090
138,0.000000,0.000000
139,0.001381,0.003040
140,0.000000,0.000000
141,0.001381,0.002991
142,0.000000,0.000000
143,0.001381,0.002943
144,0.000000,0.000000
145,0.001381,0.002897
146,0.000000,0.000000
147,0.001381,0.002852
148,0.000000,0.000000
149,0.001381,0.002808
150,0.000000,0.000000
151,0.001381,0.002765
152,0.000000,0.000000
153,0.001381,0.002723
154,0.000000,0.000000
155,0.001381,0.002682
156,0.000000,0.000000
157,0.001381,0.002642
158,0.000000,0.000000
159,0.001381,0.002603
160,0.000000,0.000000
161,0.001381,0.002565
162,0.000000,0.000000
163,0.001381,0.002528
164,0.000000,0.000000
165,0.001381,0.002491
166,0.000000,0.000000
167,0.001381,0.002455
168,0.000000,0.000000
169,0.001381,0.002421
170,0.000000,0.000000
171,0.001381,0.002386
172,0.000000,0.000000
173,0.001381,0.002353
174,0.000000,0.000000
175,0.001381,0.002320
176,0.000000,0.000000
177,0.001381,0.002288
178,0.000000,0.000000
179,0.001381,0.002257
180,0.000000,0.000000
181,0.001381,0.002226
182,0.000000,0.000000
183,0.001381,0.002196
184,0.000000,0.000000
185,0.001381,0.002166
186,0.000000,0.000000
187,0.001381,0.002137
188,0.000000,0.000000
189,0.001381,0.002109
190,0.000000,0.000000
191,0.001381,0.002081
192,0.000000,0.000000
193,0.001381,0.002053
194,0.000000,0.000000
195,0.001381,0.002026
196,0.000000,0.000000
197,0.001381,0.002000
198,0.000000,0.000000
199,0.001381,0.001974
200,0.000000,0.000000
201,0.001381,0.001948
202,0.000000,0.000000
203,0.001381,0.001923
204,0.000000,0.000000
205,0.001381,0.001898
206,0.000000,0.000000
207,0.001381,0.001874
208,0.000000,0.000000
209,0.001381,0.001850
210,0.000000,0.000000
211,0.001381,0.001827
212,0.000000,0.000000
213,0.001381,0.001804
214,0.000000,0.000000
215,0.001381,0.001781
216,0.000000,0.000000
217,0.001381,0.001759
218,0.000000,0.000000
219,0.001381,0.001736
220,0.000000,0.000000
221,0.001381,0.001715
222,0.000000,0.000000
223,0.001381,0.001693
224,0.000000,0.000000
225,0.001381,0.001672
226,0.000000,0.000000
227,0.001381,0.001652
228,0.000000,0.000000
229,0.001381,0.001631
230,0.000000,0.000000
231,0.001381,0.001611
232,0.000000,0.000000
233,0.001381,0.001591
234,0.000000,0.000000
235,0.001381,0.001572
236,0.000000,0.000000
237,0.001381,0.001552
238,0.000000,0.000000
239,0.001381,0.001533
240,0.000000,0.000000
241,0.001381,0.001514
242,0.000000,0.000000
243,0.001381,0.001496
244,0.000000,0.000000
245,0.001381,0.001478
246,0.000000,0.000000
247,0.001381,0.001460
248,0.000000,0.000000
249,0.001381,0.001442
250,0.000000,0.000000
251,0.001381,0.001424
252,0.000000,0.000000
253,0.001381,0.001407
254,0.000000,0.000000
255,0.001381,0.001390
256,0.000000,0.000000
257,0.001381,0.001373
258,0.000000,0.000000
259,0.001381,0.001356
260,0.000000,0.000000
261,0.001381,0.001339
262,0.000000,0.000000
263,0.001381,0.001323
264,0.000000,0.000000
265,0.001381,0.001307
266,0.000000,0.000000
267,0.001381,0.001291
268,0.000000,0.000000
269,0.001381,0.001275
270,0.000000,0.000000
271,0.001381,0.001259
272,0.000000,0.000000
273,0.001381,0.001244
274,0.000000,0.000000
275,0.001381,0.001229
276,0.000000,0.000000
277,0.001381,0.001214
278,0.000000,0.000000
279,0.001381,0.001199
280,0.000000,0.000000
281,0.001381,0.001184
282,0.000000,0.000000
283,0.001381,0.001169
284,0.000000,0.000000
285,0.001381,0.001155
286,0.000000,0.000000
287,0.001381,0.001141
288,0.000000,0.000000
289,0.001381,0.001126
290,0.000000,0.000000
291,0.001381,0.001112
292,0.000000,0.000000
293,0.001381,0.001098
294,0.000000,0.000000
295,0.001381,0.001085
296,0.000000,0.000000
297,0.001381,0.001071
298,0.000000,0.000000
299,0.001381,0.001057
300,0.000000,0.000000
301,0.001381,0.001044
302,0.000000,0.000000
303,0.001381,0.001031
304,0.000000,0.000000
305,0.001381,0.001018
306,0.000000,0.000000
307,0.001381,0.001005
308,0.000000,0.000000
309,0.001381,0.000992
310,0.000000,0.000000
311,0.001381,0.000979
312,0.000000,0.000000
313,0.001381,0.000966
314,0.000000,0.000000
315,0.001381,0.000954
316,0.000000,0.000000
317,0.001381,0.000941
318,0.000000,0.000000
319,0.001381,0.000929
320,0.000000,0.000000
321,0.001381,0.000917
322,0.000000,0.000000
323,0.001381,0.000905
324,0.000000,0.000000
325,0.001381,0.000892
326,0.000000,0.000000
