name,QuEST_V3,QuEST_V4
Threads,8,8
QFT_H_02,40448.1656756866,12909.5223218550
QFT_H_04,25733.9317330258,9449.4736643168
QFT_H_06,12393.0479957962,4294.7246179627
QFT_H_08,8927.9656023341,2102.0856894210
QFT_H_10,5476.4452612866,2008.9357461990
QFT_H_12,3060.1702923564,1001.6254377603
QFT_H_14,1447.9784772479,660.2342246935
QFT_H_16,437.7709473836,281.0152451332
QFT_H_18,112.1567786670,83.8107529061
QFT_H_20,34.2392727622,29.0922928261
