name,average time,iter per sec
QFT_H_02,0.0000247230,40448.1656756866
QFT_H_04,0.0000388592,25733.9317330258
QFT_H_06,0.0000806904,12393.0479957962
QFT_H_08,0.0001120076,8927.9656023341
QFT_H_10,0.0001826002,5476.4452612866
QFT_H_12,0.0003267792,3060.1702923564
QFT_H_14,0.0006906180,1447.9784772479
QFT_H_16,0.0022842996,437.7709473836
QFT_H_18,0.0089160906,112.1567786670
QFT_H_20,0.0292062278,34.2392727622
