name,average time,iter per sec
QFT_H_02,0.0000774622,12909.5223218550
QFT_H_04,0.0001058260,9449.4736643168
QFT_H_06,0.0002328438,4294.7246179627
QFT_H_08,0.0004757180,2102.0856894210
QFT_H_10,0.0004977760,2008.9357461990
QFT_H_12,0.0009983772,1001.6254377603
QFT_H_14,0.0015146140,660.2342246935
QFT_H_16,0.0035585258,281.0152451332
QFT_H_18,0.0119316432,83.8107529061
QFT_H_20,0.0343733650,29.0922928261
