name,QuEST_V3,QuEST_V4
Threads,8,8
QFT_02,45966.0219165992,22393.4073808670
QFT_04,27372.5125229244,13517.2033446967
QFT_06,16471.0998082763,5010.2559940197
QFT_08,11151.5789520638,3477.7697479938
QFT_10,7272.2195395812,2247.8375802478
QFT_12,4121.3965599527,1141.1372208378
QFT_14,2026.0222295159,907.8130384466
QFT_16,480.1776426792,353.5917353447
QFT_18,135.5364255227,92.8009255147
QFT_20,38.8752086597,33.0538369194
