name,average time,iter per sec
QFT_02,0.0000446560,22393.4073808670
QFT_04,0.0000739798,13517.2033446967
QFT_06,0.0001995906,5010.2559940197
QFT_08,0.0002875406,3477.7697479938
QFT_10,0.0004448720,2247.8375802478
QFT_12,0.0008763188,1141.1372208378
QFT_14,0.0011015484,907.8130384466
QFT_16,0.0028281204,353.5917353447
QFT_18,0.0107757546,92.8009255147
QFT_20,0.0302536738,33.0538369194
